id,skill,category,proficiency,team,members,notes
1,Linkerd,Monitoring,3,UI Team,11,
2,Oracle,API,5,UI Team,4,
3,Helm,Security,3,UI Team,3,
4,SQS,Monitoring,4,UI Team,5,Used by UI Team
5,Clojure,Monitoring,1,UI Team,9,
6,Jenkins,Frontend,1,UI Team,6,
7,EventBridge,Backend,5,UI Team,9,Used by UI Team
8,JUnit,API,3,UI Team,6,
9,New Relic,Cloud,1,UI Team,3,
10,API Gateway,Backend,2,UI Team,4,Used by UI Team
11,CloudWatch,Testing,3,UI Team,8,
12,Mocha,Security,4,UI Team,6,
13,Kustomize,Frontend,1,UI Team,9,
14,Java,Backend,3,UI Team,4,
15,ArgoCD,Testing,4,UI Team,8,Used by UI Team
16,ASP.NET Core,Cloud,5,UI Team,5,Used by UI Team
17,X-Ray,Security,2,UI Team,10,
18,Kubernetes,DevOps,1,UI Team,8,
19,Puppet,Data,4,UI Team,12,
20,Redis,Backend,4,UI Team,4,
21,F#,Monitoring,4,API Team,7,Used by API Team
22,Helm,Security,3,API Team,8,
23,MongoDB,Cloud,3,API Team,11,
24,TypeScript,Frontend,5,API Team,2,
25,Angular,Testing,2,API Team,5,
26,MariaDB,Testing,3,API Team,4,Used by API Team
27,Prometheus,Monitoring,1,API Team,10,
28,DynamoDB,Monitoring,2,API Team,2,
29,Neo4j,Testing,1,API Team,8,
30,Lambda,Data,5,API Team,10,
31,Cypress,Data,2,API Team,11,
32,Swift,DevOps,3,API Team,3,Used by API Team
33,CircleCI,Data,5,API Team,7,
34,New Relic,Frontend,4,API Team,8,
35,Ruby on Rails,Testing,4,API Team,12,
36,Kotlin,DevOps,5,API Team,6,Used by API Team
37,PostgreSQL,Testing,2,API Team,11,
38,SNS,Cloud,4,API Team,2,
39,Kafka,Backend,5,API Team,3,
40,CouchDB,Testing,1,API Team,7,Used by API Team
41,Prometheus,Security,1,DevOps,6,Used by DevOps
42,Travis CI,Monitoring,1,DevOps,7,Used by DevOps
43,X-Ray,Security,4,DevOps,12,
44,Neo4j,Testing,2,DevOps,12,Used by DevOps
45,Clojure,Monitoring,1,DevOps,4,
46,Jest,DevOps,3,DevOps,9,
47,New Relic,Security,1,DevOps,10,Used by DevOps
48,Cypress,Security,3,DevOps,8,Used by DevOps
49,CloudFormation,Frontend,5,DevOps,4,Used by DevOps
50,C#,Security,2,DevOps,7,
51,Jenkins,Cloud,1,DevOps,10,
52,ELK Stack,Testing,2,DevOps,9,Used by DevOps
53,PHP,Frontend,1,DevOps,7,
54,Flux,Data,1,DevOps,6,
55,EC2,Testing,1,DevOps,12,
56,PostgreSQL,Cloud,4,DevOps,4,
57,GitLab CI,Database,2,DevOps,4,
58,Step Functions,DevOps,1,DevOps,8,
59,Route53,Frontend,4,DevOps,2,
60,Elixir,API,5,DevOps,5,
61,Vue.js,Backend,4,Data Team,11,Used by Data Team
62,Flask,Data,2,Data Team,9,Used by Data Team
63,Spring Boot,Data,2,Data Team,12,Used by Data Team
64,ASP.NET Core,API,2,Data Team,11,
65,Docker,Security,2,Data Team,4,
66,Prometheus,DevOps,4,Data Team,5,
67,F#,DevOps,5,Data Team,3,Used by Data Team
68,Route53,Database,4,Data Team,11,
69,IAM,DevOps,5,Data Team,2,
70,Jenkins,Testing,3,Data Team,2,
71,Express.js,DevOps,5,Data Team,7,
72,CloudFront,API,2,Data Team,3,
73,EC2,Backend,3,Data Team,5,
74,ECS,Data,2,Data Team,12,Used by Data Team
75,SQS,Data,3,Data Team,5,Used by Data Team
76,JavaScript,Frontend,3,Data Team,9,Used by Data Team
77,EventBridge,Cloud,3,Data Team,9,
78,Clojure,API,2,Data Team,2,
79,Chef,Cloud,3,Data Team,2,Used by Data Team
80,GitHub Actions,Testing,3,Data Team,9,Used by Data Team
81,CloudFormation,Security,3,QA Team,9,
82,RabbitMQ,Testing,5,QA Team,2,
83,DynamoDB,DevOps,5,QA Team,2,
84,ELK Stack,Security,1,QA Team,8,
85,IAM,Testing,2,QA Team,5,
86,F#,Backend,3,QA Team,4,Used by QA Team
87,Angular,Database,4,QA Team,6,
88,Consul,Database,5,QA Team,6,Used by QA Team
89,Helm,API,1,QA Team,12,Used by QA Team
90,TypeScript,Monitoring,5,QA Team,2,
91,JUnit,Monitoring,5,QA Team,9,
92,React,Monitoring,3,QA Team,2,
93,C#,Database,4,QA Team,11,
94,Scala,Backend,4,QA Team,7,
95,Flask,API,4,QA Team,6,Used by QA Team
96,Terraform,Data,4,QA Team,7,
97,Prometheus,DevOps,1,QA Team,10,Used by QA Team
98,Kubernetes,Security,1,QA Team,6,
99,Grafana,Frontend,5,QA Team,5,Used by QA Team
100,Ruby,Security,4,QA Team,9,
101,Linkerd,Frontend,3,Security Team,10,Used by Security Team
102,EventBridge,Monitoring,3,Security Team,7,
103,Django,Data,5,Security Team,4,
104,AWS Lambda,API,3,Security Team,5,
105,Selenium,DevOps,1,Security Team,4,Used by Security Team
