id,applicationName,serverName,serverType,cpu,memory,storage,region,environment,notes,osType,osVersion,dbEngineVersion,dbClusterId,dbClusterType,orchestrationPlatform
infra-1,Procurement Management System 1,procurement-management-system-1-frontend-srv-1,t3.micro,2 vCPU,1 GB,20 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2,PostgreSQL 14,db-cluster-660,Multi-AZ,EKS
infra-2,Procurement Management System 1,procurement-management-system-1-frontend-srv-2,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2023,Aurora MySQL 8.0,db-cluster-921,Active/Active,None
infra-3,Procurement Management System 1,procurement-management-system-1-backend-srv-3,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2023,MongoDB 6.0,db-cluster-851,Active/Backup,None
infra-4,Procurement Management System 1,procurement-management-system-1-backend-srv-4,t3.small,2 vCPU,2 GB,30 GB SSD,us-east-1,Staging,,Windows,Ubuntu 20.04,Aurora MySQL 8.0,db-cluster-629,Single Instance,None
infra-5,Procurement Management System 1,procurement-management-system-1-backend-srv-5,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-east-1,Production,,Linux,Ubuntu 20.04,PostgreSQL 14,db-cluster-836,Active/Backup,Kubernetes
infra-6,Procurement Management System 1,procurement-management-system-1-backend-srv-6,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-west-2,Staging,,Windows,Ubuntu 22.04,DynamoDB,db-cluster-199,Single Instance,EKS
infra-7,Procurement Management System 1,procurement-management-system-1-frontend-srv-7,m5.2xlarge,8 vCPU,32 GB,400 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2023,Aurora PostgreSQL 14,db-cluster-244,Multi-AZ,None
infra-8,Procurement Management System 1,procurement-management-system-1-frontend-srv-8,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Staging,,Windows,Ubuntu 22.04,PostgreSQL 14,db-cluster-783,Active/Active,ECS
infra-9,Legal Gateway 2,legal-gateway-2-worker-srv-9,m5.xlarge,4 vCPU,16 GB,200 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2023,PostgreSQL 13,db-cluster-755,Active/Active,None
infra-10,Legal Gateway 2,legal-gateway-2-worker-srv-10,c5.4xlarge,16 vCPU,32 GB,640 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2023,MongoDB 6.0,db-cluster-751,Single Instance,Kubernetes
infra-11,Legal Gateway 2,legal-gateway-2-api-srv-11,t3.medium,2 vCPU,4 GB,40 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2023,Aurora MySQL 8.0,db-cluster-608,Single Instance,Kubernetes
infra-12,Legal Gateway 2,legal-gateway-2-api-srv-12,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-east-1,Staging,,Windows,Amazon Linux 2023,Redis 7.0,db-cluster-240,Multi-AZ,ECS
infra-13,Legal Gateway 2,legal-gateway-2-processor-srv-13,t3.medium,2 vCPU,4 GB,40 GB SSD,us-east-1,Production,Primary instance,Windows,Amazon Linux 2,PostgreSQL 13,db-cluster-777,Active/Backup,None
infra-14,Legal Gateway 2,legal-gateway-2-processor-srv-14,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2023,PostgreSQL 15,db-cluster-623,Active/Active,None
infra-15,Legal Gateway 2,legal-gateway-2-processor-srv-15,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-west-2,Production,,Windows,Ubuntu 22.04,Aurora MySQL 8.0,db-cluster-161,Active/Backup,None
infra-16,Legal Gateway 2,legal-gateway-2-processor-srv-16,t3.xlarge,4 vCPU,16 GB,160 GB SSD,us-west-2,Staging,,Windows,Ubuntu 20.04,MySQL 8.0,db-cluster-750,Single Instance,EKS
infra-17,Legal Gateway 2,legal-gateway-2-api-srv-17,r5.large,2 vCPU,16 GB,100 GB SSD,us-west-2,Production,Primary instance,Linux,Amazon Linux 2,MySQL 8.0,db-cluster-852,Active/Active,EKS
infra-18,Legal Gateway 2,legal-gateway-2-api-srv-18,m5.2xlarge,8 vCPU,32 GB,400 GB SSD,us-east-1,Staging,,Linux,Ubuntu 22.04,PostgreSQL 15,db-cluster-964,Multi-AZ,ECS
infra-19,Analytics Platform 3,analytics-platform-3-processor-srv-19,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Production,Primary instance,Linux,Amazon Linux 2,PostgreSQL 13,db-cluster-322,Active/Backup,ECS
infra-20,Analytics Platform 3,analytics-platform-3-processor-srv-20,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-east-1,Staging,,Linux,Amazon Linux 2,PostgreSQL 13,db-cluster-665,Single Instance,EKS
infra-21,Analytics Platform 3,analytics-platform-3-service-srv-21,c5.4xlarge,16 vCPU,32 GB,640 GB SSD,us-east-1,Production,Primary instance,Windows,Amazon Linux 2023,MongoDB 6.0,db-cluster-327,Single Instance,EKS
infra-22,Analytics Platform 3,analytics-platform-3-service-srv-22,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-west-2,Staging,,Linux,Ubuntu 20.04,PostgreSQL 13,db-cluster-193,Multi-AZ,Kubernetes
infra-23,Analytics Platform 3,analytics-platform-3-service-srv-23,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Production,Primary instance,Linux,Ubuntu 22.04,Aurora MySQL 8.0,db-cluster-627,Multi-AZ,None
infra-24,Analytics Platform 3,analytics-platform-3-service-srv-24,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-east-1,Staging,,Windows,Windows Server 2019,DynamoDB,db-cluster-458,Single Instance,Kubernetes
infra-25,Analytics Platform 3,analytics-platform-3-worker-srv-25,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-east-1,Production,Primary instance,Windows,Windows Server 2022,PostgreSQL 14,db-cluster-170,Multi-AZ,None
infra-26,Analytics Platform 3,analytics-platform-3-worker-srv-26,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Staging,,Windows,Ubuntu 20.04,Aurora PostgreSQL 14,db-cluster-986,Single Instance,ECS
infra-27,Risk Management Engine 4,risk-management-engine-4-srv-27,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Production,,Linux,Ubuntu 22.04,PostgreSQL 14,db-cluster-136,Multi-AZ,EKS
infra-28,Risk Management Engine 4,risk-management-engine-4-srv-28,t3.xlarge,4 vCPU,16 GB,160 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2,PostgreSQL 15,db-cluster-774,Single Instance,ECS
infra-29,Procurement Service 5,procurement-service-5-srv-29,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-east-1,Production,,Windows,Ubuntu 20.04,Redis 7.0,db-cluster-436,Single Instance,None
infra-30,Procurement Service 5,procurement-service-5-srv-30,t3.large,2 vCPU,8 GB,80 GB SSD,us-east-1,Staging,,Windows,Amazon Linux 2,MySQL 8.0,db-cluster-261,Single Instance,None
infra-31,Marketing Application,marketing-application-backend-srv-31,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2,DynamoDB,db-cluster-239,Single Instance,None
infra-32,Marketing Application,marketing-application-backend-srv-32,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Staging,,Windows,Amazon Linux 2,PostgreSQL 15,db-cluster-119,Multi-AZ,ECS
infra-33,Marketing Application,marketing-application-api-srv-33,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2,PostgreSQL 15,db-cluster-261,Single Instance,Kubernetes
infra-34,Marketing Application,marketing-application-api-srv-34,m5.large,2 vCPU,8 GB,100 GB SSD,us-east-1,Staging,,Windows,Amazon Linux 2,PostgreSQL 15,db-cluster-886,Active/Backup,EKS
infra-35,Marketing Application,marketing-application-worker-srv-35,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-east-1,Production,,Windows,Ubuntu 20.04,PostgreSQL 14,db-cluster-433,Active/Active,EKS
infra-36,Marketing Application,marketing-application-worker-srv-36,t3.large,2 vCPU,8 GB,80 GB SSD,us-west-2,Staging,,Windows,Windows Server 2019,Aurora MySQL 8.0,db-cluster-720,Multi-AZ,None
infra-37,Marketing Application,marketing-application-processor-srv-37,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Production,,Linux,Ubuntu 20.04,DynamoDB,db-cluster-907,Active/Backup,ECS
infra-38,Marketing Application,marketing-application-processor-srv-38,m5.large,2 vCPU,8 GB,100 GB SSD,us-east-1,Staging,,Windows,Amazon Linux 2023,PostgreSQL 13,db-cluster-669,Multi-AZ,None
infra-39,Marketing Application,marketing-application-processor-srv-39,r5.large,2 vCPU,16 GB,100 GB SSD,us-west-2,Production,,Linux,Ubuntu 20.04,DynamoDB,db-cluster-476,Multi-AZ,Kubernetes
