id,applicationName,componentName,runtime,framework,databases,integrations,storages
tech-1,Procurement Management System 1,Procurement Management System 1 Frontend,Ruby 3.0,Express.js,,EventBridge,"FSx,EBS"
tech-2,Procurement Management System 1,Procurement Management System 1 Backend,.NET 7,Django,CouchDB,"RabbitMQ,Kafka,EventBridge","FSx,Backup,CloudFront"
tech-3,Procurement Management System 1,Procurement Management System 1 Backend,PHP 8.1,Remix,DynamoDB,GraphQL,EFS
tech-4,Procurement Management System 1,Procurement Management System 1 Frontend,Python 3.12,Nuxt.js,Redshift,"SNS,REST API,Kinesis","EBS,FSx"
tech-5,Legal Gateway 2,Legal Gateway 2 Worker,Ruby 3.0,Fiber,"Redshift,DocumentDB","RabbitMQ,REST API,Kinesis,MQTT","S3,EBS,Glacier"
tech-6,Legal Gateway 2,Legal Gateway 2 API,Ruby 3.0,Remix,"Aurora MySQL,PostgreSQL",Cognito,"Backup,FSx"
tech-7,Legal Gateway 2,Legal Gateway 2 Processor,.NET 8,Django,Cassandra,EventBridge,FSx
tech-8,Legal Gateway 2,Legal Gateway 2 Processor,PHP 8.2,Django,,"Kinesis,REST API","EFS,Backup,EBS"
tech-9,Legal Gateway 2,Legal Gateway 2 API,PHP 8.1,Ruby on Rails,"Aurora PostgreSQL,CouchDB",MQTT,"CloudFront,S3,Storage Gateway"
tech-10,Analytics Platform 3,Analytics Platform 3 Processor,.NET 6,Nuxt.js,Oracle,"Kafka,SQS,SNS","FSx,Storage Gateway"
tech-11,Analytics Platform 3,Analytics Platform 3 Service,Ruby 3.0,Express.js,"Redis,MongoDB,Redshift",Auth0,"EBS,S3"
tech-12,Analytics Platform 3,Analytics Platform 3 Service,.NET 7,Vue.js,Oracle,"Cognito,SQS","EBS,S3"
tech-13,Analytics Platform 3,Analytics Platform 3 Worker,.NET 7,Ruby on Rails,"Redis,DynamoDB,PostgreSQL",AMQP,"Glacier,EBS,Storage Gateway"
tech-14,Risk Management Engine 4,Risk Management Engine 4,Python 3.11,Nuxt.js,"Redis,MySQL","SNS,Kafka","EBS,CloudFront"
tech-15,Procurement Service 5,Procurement Service 5,.NET 6,React,"CouchDB,Redshift,MySQL",Auth0,S3
tech-16,Marketing Application,Marketing Application Backend,Python 3.9,Laravel,"SQL Server,Timestream",gRPC,EFS
tech-17,Marketing Application,Marketing Application API,Node.js 18,Next.js,,WebSockets,"EFS,FSx"
tech-18,Marketing Application,Marketing Application Worker,.NET 8,Flask,"Aurora PostgreSQL,Neo4j","Cognito,GraphQL","Backup,EBS"
tech-19,Marketing Application,Marketing Application Processor,Python 3.12,Fiber,,REST API,"CloudFront,Backup,EBS"
tech-20,Marketing Application,Marketing Application Processor,Java 11,FastAPI,"DocumentDB,Neo4j","REST API,Kinesis,SQS",Storage Gateway
tech-21,Customer Service Gateway,Customer Service Gateway Worker,PHP 8.2,React,"Neo4j,Neptune","WebSockets,Cognito,REST API,Auth0","Glacier,CloudFront,FSx"
tech-22,Customer Service Gateway,Customer Service Gateway API,Go 1.21,Echo,"Aurora MySQL,Neptune,CouchDB","MQTT,RabbitMQ",Backup
